campaign_character_arts_tables	7
art_set_id	level	season	age	portrait	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
stephen_art_set_liche_priest_death_4	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279693		44	0	0
stephen_art_set_liche_priest_death_5	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_05			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279694		0	0	0
stephen_art_set_liche_priest_light_1	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_01			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279695		0	0	0
stephen_art_set_liche_priest_light_2	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_02			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279696		0	0	0
stephen_art_set_liche_priest_light_3	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_03			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279697		0	0	0
stephen_art_set_liche_priest_light_4	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279698		0	0	0
stephen_art_set_liche_priest_light_5	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_05			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279699		0	0	0
stephen_art_set_liche_priest_nehekhar_1	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_01			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279700		0	0	0
stephen_art_set_liche_priest_nehekhar_2	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_02			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279701		0	0	0
stephen_art_set_liche_priest_nehekhar_3	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_03			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279702		0	0	0
stephen_art_set_liche_priest_nehekhar_4	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279703		0	0	0
stephen_art_set_liche_priest_nehekhar_5	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_05			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279704		0	0	0
stephen_art_set_liche_priest_shadow_1	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_01			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279705		0	0	0
stephen_art_set_liche_priest_shadow_2	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_02			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279706		0	0	0
stephen_art_set_liche_priest_shadow_3	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_03			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279707		0	0	0
stephen_art_set_liche_priest_shadow_4	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_04			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279708		0	0	0
stephen_art_set_liche_priest_shadow_5	0	none	0		wh2_dlc09_uniform_tmb_liche_priest_campaign_05			wh2_dlc09_campaign_tmb_ship_agent	wh_main_campaign_vmp_ship_heavy	cam_lord_hu1_liche_priest_staff_and_sword	cam_agent_ship_04	cam_heavy_ship_01	1279709		0	0	0
