technology_effects_junction_tables	0
technology	effect	value	effect_scope
tech_arkhan_nagash_rank_7_attack	tech_arkhan_rank_7_offence_melee_attack	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_1	tech_arkhan_enable_army_abilty_raise_skeletons	1.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_1	tech_arkhan_army_1_missile_resistance	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_1	wh_main_effect_religion_conversion_undeath	2.0	faction_to_region_own
tech_arkhan_nagash_army_ability_2	tech_arkhan_enable_army_abilty_raise_skeletons_uses	2.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_2	tech_arkhan_army_2_magic_resistance	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_2	wh_main_effect_religion_conversion_undeath	2.0	faction_to_region_own
tech_arkhan_nagash_army_ability_3	tech_arkhan_enable_army_ability_rain_of_souls	1.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_3	wh2_dlc09_effect_increase_army_capacity	1.0	faction_to_faction_own_unseen
tech_arkhan_nagash_army_ability_3	tech_arkhan_army_3_physical_resistance	5.0	faction_to_force_own_unseen
tech_arkhan_nagash_army_ability_3	wh_main_effect_religion_conversion_undeath	2.0	faction_to_region_own
tech_arkhan_nagash_nagashizzar_me	wh2_dlc14_effect_magic_cost_all_lores	-2.0	faction_to_force_own_unseen
tech_arkhan_nagash_nagashizzar_me	wh_main_effect_force_all_campaign_replenishment_rate	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_nagashizzar_me	wh_main_effect_public_order_penalty_other_religions	-35.0	faction_to_province_own_unseen
tech_arkhan_nagash_nagashizzar_me	wh_main_effect_religion_conversion_undeath	5.0	faction_to_region_own
tech_arkhan_nagash_vault_of_nagash_me	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	15.0	faction_to_force_own_unseen
tech_arkhan_nagash_vault_of_nagash_me	wh2_main_effect_campaign_enemy_attrition_vampiric_attrition_casualties	35.0	province_to_force_enemy_provincewide
tech_arkhan_nagash_vault_of_nagash_me	wh_main_effect_force_army_campaign_movement_range	10.0	faction_to_force_own_unseen
tech_arkhan_nagash_vault_of_nagash_me	wh_main_effect_religion_conversion_undeath	5.0	faction_to_region_own
tech_arkhan_lord_left_centre	wh2_dlc09_effect_increase_army_capacity	1.0	faction_to_faction_own_unseen
tech_arkhan_lord_left_centre	wh_main_effect_technology_research_points_mod	-30.0	faction_to_faction_own_unseen
tech_arkhan_lord_right_centre	wh2_dlc09_effect_increase_army_capacity	1.0	faction_to_faction_own_unseen
tech_arkhan_lord_right_centre	wh_main_effect_technology_research_points_mod	-30.0	faction_to_faction_own_unseen
tech_arkhan_lord_bottom_left	wh_main_effect_force_army_campaign_siege_attack_holdout_time	-2.0	faction_to_character_own_unseen
tech_arkhan_lord_bottom_left	wh_main_effect_force_army_battle_unit_morale_siege_defence	5.0	faction_to_force_own_unseen
tech_arkhan_lord_bottom_left	wh_main_effect_force_army_battle_unit_morale_siege_attack	5.0	faction_to_force_own_unseen
tech_arkhan_lord_bottom_right	wh_main_effect_province_growth_tech	10.0	faction_to_province_own_unseen
tech_arkhan_lord_bottom_right	wh_main_effect_building_construction_cost_mod_settlement	-10.0	faction_to_region_own_unseen
tech_arkhan_lord_bottom_right	wh_main_effect_force_all_campaign_experience_base_all	1.0	faction_to_character_own_unseen
tech_arkhan_lord_extra_left_lord_unlock	stephen_tomb_king_unlock_1	1.0	faction_to_faction_own_unseen
tech_arkhan_lord_extra_right_lord_unlock	stephen_tomb_king_unlock_1	1.0	faction_to_faction_own_unseen
