land_unit	ability
stephen_tmb_cha_tomb_king_4	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_grief	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_grief	skill_arkhan_lord_passive_aoe_drain
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_grief_horse	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_grief_horse	skill_arkhan_lord_passive_aoe_drain
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_grief_chariot	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_grief_chariot	skill_arkhan_lord_passive_aoe_drain
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_grief_warsphinx	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_grief_warsphinx	skill_arkhan_lord_passive_aoe_drain
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_terror	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_terror	skill_arkhan_lord_passive_aoe_debuff
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_terror_horse	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_terror_horse	skill_arkhan_lord_passive_aoe_debuff
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_terror_chariot	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_terror_chariot	skill_arkhan_lord_passive_aoe_debuff
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_terror_warsphinx	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_terror_warsphinx	skill_arkhan_lord_passive_aoe_debuff
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_madness	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_madness	skill_arkhan_lord_passive_aoe_rampage
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_madness_horse	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_madness_horse	skill_arkhan_lord_passive_aoe_rampage
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_madness_chariot	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_madness_chariot	skill_arkhan_lord_passive_aoe_rampage
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_madness_warsphinx	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_madness_warsphinx	skill_arkhan_lord_passive_aoe_rampage
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc09_spell_death_spirit_leech_bound
stephen_tmb_cha_tomb_king_sacrament	wh2_dlc10_spell_bound_soulblight
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc09_spell_death_spirit_leech_bound
stephen_tmb_cha_tomb_king_sacrament_horse	wh2_dlc10_spell_bound_soulblight
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc09_spell_death_spirit_leech_bound
stephen_tmb_cha_tomb_king_sacrament_chariot	wh2_dlc10_spell_bound_soulblight
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_character_abilities_strike_of_tombs
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_character_abilities_tomb_king_rally
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_lord_passive_my_will_be_done
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_lord_passive_the_curse
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_unit_passive_unstable_mark_ii_sand
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_unit_passive_unstable_sand
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc09_spell_death_spirit_leech_bound
stephen_tmb_cha_tomb_king_sacrament_warsphinx	wh2_dlc10_spell_bound_soulblight
