character_skill_key	level	effect_key	value	effect_scope
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	1	wh_main_effect_agent_action_success_chance_skill	2.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	1	wh2_dlc09_effect_magic_cooldown_wh2_dlc09_spell_vampires_raise_dead	-30.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh2_dlc09_effect_magic_uses_wh2_dlc09_spell_vampires_raise_dead	2.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh2_dlc09_effect_magic_enable_wh2_dlc09_spell_vampires_raise_dead_upgraded	1.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh2_dlc09_effect_magic_miscast_percentage_mod_wh2_dlc09_spell_vampires_raise_dead_upgraded	-15.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh_main_effect_agent_action_success_chance_enemy_skill	-3.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh_main_effect_agent_action_success_chance_skill	3.0	character_to_character_own
wh2_dlc09_skill_tmb_magic_vampires_raise_dead_lord	2	wh2_dlc09_effect_magic_cooldown_wh2_dlc09_spell_vampires_raise_dead	-50.0	character_to_character_own
wh2_dlc09_skill_tmb_arkhan_unique_3	1	wh2_dlc10_effect_skill_charge_bonus_increase_dire_wolves_hexwraiths	0.0	character_to_force_own_factionwide
wh2_dlc09_skill_tmb_arkhan_unique_3	1	wh2_dlc10_effect_skill_melee_attack_increase_fell_bats_crypt_ghoul	0.0	character_to_force_own_factionwide
wh2_dlc09_skill_tmb_arkhan_unique_3	2	wh2_dlc10_effect_skill_charge_bonus_increase_dire_wolves_hexwraiths	0.0	character_to_force_own_factionwide
wh2_dlc09_skill_tmb_arkhan_unique_3	2	wh2_dlc10_effect_skill_melee_attack_increase_fell_bats_crypt_ghoul	0.0	character_to_force_own_factionwide
