Loc PackedFile	1
technologies_long_description_tech_arkhan_nagash_monsters_1_4		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_1_4	Grave Guard Legions	true
technologies_short_description_tech_arkhan_nagash_monsters_1_4	The armour many soldiers are buried with is brought back to the surface - a gift from the grave.	true
technologies_long_description_tech_arkhan_nagash_monsters_2_1		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_2_1	Ethereal Reaping	true
technologies_short_description_tech_arkhan_nagash_monsters_2_1	Behold the reapers - summoned from their cairns to enact the doom of all mortals!  	true
technologies_long_description_tech_arkhan_nagash_monsters_2_2		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_2_2	Vampire Beasts	true
technologies_short_description_tech_arkhan_nagash_monsters_2_2	When Vargheists emerge from their tomb-like cocoons, they have a great hunger - this cantrip ensures it never slakes. 	true
technologies_long_description_tech_arkhan_nagash_monsters_2_3		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_2_3	Malformed Monstrosities	true
technologies_short_description_tech_arkhan_nagash_monsters_2_3	Beasts that are already blooded, that know the thrill of hunting living things, will always be the superior breed. 	true
technologies_long_description_tech_arkhan_nagash_monsters_2_4		true
technologies_onscreen_name_tech_arkhan_nagash_monsters_2_4	Titanic Bats	true
technologies_short_description_tech_arkhan_nagash_monsters_2_4	A Terrorgheist feeds by terrifying its prey into paralysis, this invocation invigorates the monster further. 	true
technologies_long_description_tech_arkhan_nagash_nagashizzar_me		true
technologies_onscreen_name_tech_arkhan_nagash_nagashizzar_me	Halls of Nagashizzar	true
technologies_short_description_tech_arkhan_nagash_nagashizzar_me	Within his audience chamber at the height of the peak the husk of Nagash sits on his throne of skulls. He has brooded here for over a millennium, waiting and planning, guiding his agents by the power of his thoughts.	true
technologies_onscreen_name_tech_arkhan_nagash_vault_of_nagash_me	Vault of Nagash	true
technologies_short_description_tech_arkhan_nagash_vault_of_nagash_me	The Black Pyramid was the greatest legacy of the Great Necromancer.	true
technologies_onscreen_name_tech_arkhan_nagash_diplomacy_left_lord_unlock	Priest King of Terror	true
technologies_short_description_tech_arkhan_nagash_diplomacy_left_lord_unlock	The Land of the Dead grows ever larger.	true
technologies_onscreen_name_tech_arkhan_lord_extra_left_lord_unlock	Priest King of Madness	true
technologies_short_description_tech_arkhan_lord_extra_left_lord_unlock	The Land of the Dead grows ever larger.	false
technologies_onscreen_name_tech_arkhan_lord_extra_right_lord_unlock	Priest King of Terror	false
technologies_short_description_tech_arkhan_lord_extra_right_lord_unlock	They whisper the name, Nagash...	false
