key	resource
minor_secondary_dyes_vor_the_vampire_coast_the_blood_swamps	res_dyes
major_secondary_gems_vor_central_spine_of_sotek_chiquibol	res_gems
major_secondary_gems_vor_jungles_of_green_mist_spektazuma	res_gems
major_secondary_gems_vor_the_red_rivers_zlatan	res_gems
minor_secondary_gems_vor_cobra_pass_eye_of_the_panther	res_gems
minor_secondary_gems_vor_saphery_shadow_peak	res_gems
major_secondary_gold_vor_culchan_plains_chupayotl	res_gold
minor_secondary_gold_vor_northern_yvresse_sardenath	res_gold
minor_secondary_gold_vor_shifting_mangrove_coastline_temple_avenue_of_gold	res_gold
minor_secondary_gold_vor_southern_spine_of_sotek_thrice-cursed_peak	res_gold
minor_secondary_gold_vor_the_great_desert_bel_aliad	res_gold
major_secondary_medicine_vor_jungle_of_pahualaxa_pahuax	res_medicine
minor_secondary_medicine_vor_kingdom_of_beasts_the_cursed_jungle	res_medicine
minor_secondary_medicine_vor_mosquito_swamps_xahutec	res_medicine
minor_secondary_obsidian_vor_deadwood_dargoth	res_obsidian
minor_secondary_obsidian_vor_obsidian_peaks_ice_spire	res_obsidian
minor_secondary_obsidian_vor_the_chill_road_ashrak	res_obsidian
minor_secondary_furs_vor_naggarond_kaelra	res_rom_furs
minor_secondary_furs_vor_shadow_wood_venom_glade	res_rom_furs
minor_secondary_furs_vor_shifting_sands_plain_of_tuskers	res_rom_furs
minor_secondary_furs_vor_southern_jungles_scrag_hole	res_rom_furs
major_secondary_iron_vor_southern_spine_of_sotek_mine_of_the_bearded_skulls	res_rom_iron
major_secondary_iron_vor_the_clawed_coast_hoteks_column	res_rom_iron
minor_norsca_iron_vor_albion_pack_ice_bay	res_rom_iron
minor_secondary_iron_vor_coast_of_araby_martek	res_rom_iron
minor_secondary_iron_vor_iron_peaks_ironspike	res_rom_iron
minor_secondary_iron_vor_jungle_of_pahualaxa_the_high_sentinel	res_rom_iron
minor_secondary_iron_vor_saphery_tor_finu	res_rom_iron
major_secondary_salt_vor_coast_of_araby_al_haikk	res_rom_lead
minor_secondary_salt_vor_land_of_the_dead_the_salt_plain	res_rom_lead
minor_secondary_salt_vor_red_desert_rothkar_spire	res_rom_lead
minor_secondary_salt_vor_straits_of_lothern_tower_of_lysean	res_rom_lead
minor_secondary_salt_vor_the_broken_land_black_creek_spire	res_rom_lead
major_secondary_marble_vor_coast_of_squalls_macu_peaks	res_rom_marble
minor_secondary_marble_vor_ash_river_springs_of_eternal_life	res_rom_marble
minor_secondary_marble_vor_copper_desert_the_golden_colossus	res_rom_marble
minor_secondary_marble_vor_grey_guardians_grey_rock_point	res_rom_marble
minor_secondary_marble_vor_northern_spine_of_sotek_cavern_of_the_mlexigaur	res_rom_marble
minor_secondary_marble_vor_the_clawed_coast_the_monoliths	res_rom_marble
minor_secondary_marble_vor_tiranoc_whitepeak	res_rom_marble
minor_secondary_marble_vor_western_jungles_deaths-head_monoliths	res_rom_marble
major_secondary_pastures_vor_kingdom_of_beasts_temple_of_skulls	res_rom_oil
major_secondary_pastures_vor_western_jungles_tlaqua	res_rom_oil
minor_secondary_pastures_vor_culchan_plains_xlansec	res_rom_oil
minor_secondary_pastures_vor_ellyrion_reavers_mark	res_rom_oil
minor_secondary_pastures_vor_jungles_of_green_mist_wellsprings_of_eternity	res_rom_oil
minor_secondary_pastures_vor_scorpion_coast_chotec	res_rom_oil
minor_secondary_pastures_vor_the_black_coast_hag_hall	res_rom_oil
minor_secondary_pastures_vor_the_lost_valleys_subatuun	res_rom_oil
minor_secondary_pastures_vor_tiranoc_the_high_vale	res_rom_oil
major_secondary_pottery_vor_sea_of_dread_tor_elasor	res_rom_textiles
minor_secondary_pottery_vor_coast_of_araby_copher	res_rom_textiles
minor_secondary_pottery_vor_settlers_coast_swamp_town	res_rom_textiles
minor_secondary_pottery_vor_the_turtle_isles_mud_isle	res_rom_textiles
minor_secondary_pottery_vor_the_vampire_coast_pox_marsh	res_rom_textiles
minor_secondary_timber_vor_avelorn_tor_saroir	res_rom_timber
minor_secondary_timber_vor_chrace_elisia	res_rom_timber
minor_secondary_timber_vor_deadwood_nagrar	res_rom_timber
minor_secondary_timber_vor_iron_peaks_the_moon_shard	res_rom_timber
minor_secondary_timber_vor_northern_great_jungle_chaqua	res_rom_timber
minor_secondary_timber_vor_the_creeping_jungle_tlanxla	res_rom_timber
minor_secondary_timber_vor_the_red_rivers_nahuontl	res_rom_timber
major_secondary_wine_vor_eataine_angerrial	res_rom_wine
major_secondary_wine_vor_grey_guardians_ssildra_tor	res_rom_wine
minor_secondary_wine_vor_land_of_the_dervishes_sudenburg	res_rom_wine
minor_secondary_wine_vor_the_road_of_skulls_spite_reach	res_rom_wine
minor_secondary_savages_vor_jungle_of_pahualaxa_floating_pyramid	res_savage
major_secondary_spices_vor_the_capes_fortress_of_dawn	res_spices
major_secondary_spices_vor_the_dragon_isles_the_blood_hall	res_spices
minor_secondary_spices_vor_sea_of_dread_tower_of_the_sun	res_spices
minor_secondary_vor_the_chill_road_atorak	
