key	resource
minor_secondary_iron_spine_of_sotek_mine_of_the_bearded_skulls	res_rom_iron
minor_secondary_iron_the_plain_of_bones_darkhold	res_rom_iron
minor_secondary_iron_titan_peaks_ironspike	res_rom_iron
minor_secondary_iron_wissenland_pfeildorf	res_rom_iron
major_secondary_salt_blackspine_mountains_red_desert	res_rom_lead
major_secondary_salt_coast_of_araby_al_haikk	res_rom_lead
minor_secondary_salt_blood_river_valley_dok_karaz	res_rom_lead
minor_secondary_salt_carcassone_et_brionne_brionne	res_rom_lead
minor_secondary_salt_eastern_border_princes_matorca	res_rom_lead
minor_secondary_salt_southern_badlands_gronti_mingol	res_rom_lead
minor_secondary_salt_the_wasteland_gorssel	res_rom_lead
major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	res_rom_marble
minor_norsca_marble_mountains_of_naglfari_naglfari_plain	res_rom_marble
minor_secondary_marble_ash_river_springs_of_eternal_life	res_rom_marble
minor_secondary_marble_blightwater_misty_mountain	res_rom_marble
minor_secondary_marble_northern_grey_mountains_grung_zint	res_rom_marble
minor_secondary_marble_the_clawed_coast_the_monoliths	res_rom_marble
minor_secondary_marble_the_wolf_lands_mount_silverspear	res_rom_marble
minor_secondary_marble_tiranoc_whitepeak	res_rom_marble
minor_secondary_marble_western_border_princes_zvorak	res_rom_marble
minor_secondary_marble_wissenland_wissenburg	res_rom_marble
major_secondary_pastures_doom_glades_hag_hall	res_rom_oil
major_secondary_pastures_eastern_border_princes_akendorf	res_rom_oil
major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	res_rom_oil
major_secondary_pastures_lyonesse_lyonesse	res_rom_oil
major_secondary_pastures_western_jungles_tlaqua	res_rom_oil
minor_secondary_pastures_black_mountains_karak_angazhar	res_rom_oil
minor_secondary_pastures_jungles_of_green_mists_wellsprings_of_eternity	res_rom_oil
minor_secondary_pastures_ostermark_essen	res_rom_oil
minor_secondary_pastures_parravon_et_quenelles_quenelles	res_rom_oil
minor_secondary_pastures_reikland_grunburg	res_rom_oil
minor_secondary_pastures_southern_great_jungle_subatuun	res_rom_oil
minor_secondary_pastures_western_sylvania_schwartzhafen	res_rom_oil
major_secondary_pottery_ostermark_bechafen	res_rom_textiles
major_secondary_pottery_western_border_princes_myrmidens	res_rom_textiles
minor_secondary_pottery_averland_grenzstadt	res_rom_textiles
minor_secondary_pottery_land_of_assassins_lashiek	res_rom_textiles
minor_secondary_pottery_northern_jungle_of_pahualaxa_swamp_town	res_rom_textiles
minor_secondary_pottery_vampire_coast_pox_marsh	res_rom_textiles
major_secondary_timber_forest_of_arden_castle_artois	res_rom_timber
major_secondary_timber_hochland_hergig	res_rom_timber
minor_secondary_timber_avelorn_tor_saroir	res_rom_timber
minor_secondary_timber_chrace_elisia	res_rom_timber
minor_secondary_timber_crater_of_the_walking_dead_doom_glade	res_rom_timber
minor_secondary_timber_deadwood_nagrar	res_rom_timber
minor_secondary_timber_death_pass_karag_dron	res_rom_timber
minor_secondary_timber_eastern_badlands_dringorackaz	res_rom_timber
minor_secondary_timber_eastern_oblast_volksgrad	res_rom_timber
minor_secondary_timber_gnoblar_country_haunted_forest	res_rom_timber
minor_secondary_timber_middenland_weismund	res_rom_timber
minor_secondary_timber_northern_great_jungle_chaqua	res_rom_timber
minor_secondary_timber_talabecland_kappelburg	res_rom_timber
minor_secondary_timber_the_creeping_jungle_tlanxla	res_rom_timber
minor_secondary_timber_the_vaults_karak_bhufdar	res_rom_timber
minor_secondary_timber_titan_peaks_the_moon_shard	res_rom_timber
major_secondary_wine_stirland_wurtbad	res_rom_wine
major_secondary_wine_western_sylvania_castle_templehof	res_rom_timber
minor_secondary_wine_eastern_sylvania_eschen	res_rom_wine
minor_secondary_wine_eataine_angerrial	res_rom_wine
minor_secondary_wine_estalia_bilbali	res_rom_wine
minor_secondary_wine_the_road_of_skulls_spite_reach	res_rom_wine
minor_secondary_wine_titan_peaks_ssildra_tor	res_rom_wine
major_secondary_savages_western_badlands_ekrund	res_savage
minor_secondary_savages_southern_badlands_agrul_migdhal	res_savage
minor_secondary_savages_southern_badlands_gor_gazan	res_savage
minor_secondary_savages_southern_jungle_of_pahualaxa_floating_pyramid	res_savage
minor_secondary_spices_devils_backbone_lybaras	res_spices
minor_secondary_northern_worlds_edge_mountains_karak_raziak	
minor_secondary_marshes_of_madness_floating_village	
minor_secondary_yvresse_shrine_of_loec	
minor_secondary_gnoblar_country_shattered_cove	
minor_secondary_yvresse_tralinia	
minor_secondary_southern_dark_lands_deadrock_gap	
minor_secondary_northern_dark_lands_karak_vlag	
minor_secondary_northern_dark_lands_seep_gore	
major_norsca_southern_dark_lands_desolation_of_drakenmoor	
major_secondary_northern_dark_lands_silver_pinnacle	
