effect	bonus_value_id	unit_set
skill_arkhan_level_10_bonus_1	armour_mod	wh2_dlc09_tmb_mon_dire_wolves
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_cairn_wraith
skill_arkhan_level_10_bonus_1	armour_mod	wh2_dlc09_tmb_mon_fell_bats
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_mortis_engine
skill_arkhan_level_10_bonus_1	armour_mod	steve_ark_nagashizzar_guard
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_crypt_horror
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_grave_guard
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_grave_guard_great
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_terrorgheist
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_vargheist
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_cav_hexwraiths
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_inf_crypt_ghouls
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_mon_dire_wolves
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_cairn_wraith
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	wh2_dlc09_tmb_mon_fell_bats
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_mortis_engine
skill_arkhan_level_10_bonus_2	unit_damage_resistance_physical_mod	steve_ark_nagashizzar_guard
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_crypt_horror
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_grave_guard
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_grave_guard_great
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_terrorgheist
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_vargheist
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	wh2_dlc09_tmb_cav_hexwraiths
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	wh2_dlc09_tmb_inf_crypt_ghouls
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	wh2_dlc09_tmb_mon_dire_wolves
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_cairn_wraith
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	wh2_dlc09_tmb_mon_fell_bats
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_mortis_engine
skill_arkhan_level_10_bonus_3	unit_fatigue_resistance_mod	steve_ark_nagashizzar_guard
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_crypt_horror
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_grave_guard
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_grave_guard_great
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_terrorgheist
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_vargheist
skill_arkhan_level_10_bonus_4	melee_attack_mod	wh2_dlc09_tmb_cav_hexwraiths
skill_arkhan_level_10_bonus_4	melee_attack_mod	wh2_dlc09_tmb_inf_crypt_ghouls
skill_arkhan_level_10_bonus_4	melee_attack_mod	wh2_dlc09_tmb_mon_dire_wolves
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_cairn_wraith
skill_arkhan_level_10_bonus_4	melee_attack_mod	wh2_dlc09_tmb_mon_fell_bats
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_mortis_engine
skill_arkhan_level_10_bonus_4	melee_attack_mod	steve_ark_nagashizzar_guard
