id	slot_template	building_superchain
1142561320	minor_secondary_bordeleaux_et_aquitaine_aquitaine	arkhan_minor_walls
1142561321	minor_secondary_charnel_valley_granite_massif	arkhan_minor_walls
1142561322	minor_secondary_cothique_mistnar	arkhan_minor_walls
1142561323	minor_secondary_couronne_et_languille_languille	arkhan_minor_walls
1142561324	minor_secondary_deadwood_shagrath	arkhan_minor_walls
1142561325	minor_secondary_desolation_of_nagash_spitepeak	arkhan_minor_walls
1142561326	minor_secondary_doom_glades_ice_rock_gorge	arkhan_minor_walls
1142561327	minor_secondary_doom_glades_temple_of_addaioth	arkhan_minor_walls
1142561328	minor_secondary_dragon_isles_dragon_fang_mount	arkhan_minor_walls
1142561329	minor_secondary_eastern_badlands_crooked_fang_fort	arkhan_minor_walls
1142561330	minor_secondary_eastern_badlands_valayas_sorrow	arkhan_minor_walls
1142561331	minor_secondary_eastern_sylvania_waldenhof	arkhan_minor_walls
1142561332	minor_secondary_eataine_tower_of_lysean	arkhan_minor_walls
1142561333	minor_secondary_gianthome_mountains_khazid_bordkarag	arkhan_minor_walls
1142561334	minor_secondary_great_desert_of_araby_pools_of_despair	arkhan_minor_walls
1142561335	minor_secondary_headhunters_jungle_marks_of_the_old_ones	arkhan_minor_walls
1142561336	minor_secondary_huahuan_desert_the_golden_colossus	arkhan_minor_walls
1142561337	minor_secondary_iron_mountains_har_kaldra	arkhan_minor_walls
1142561338	minor_secondary_iron_mountains_rackdo_gorge	arkhan_minor_walls
1142561339	minor_secondary_jungles_of_green_mist_pillars_of_unseen_constellations	arkhan_minor_walls
1142561340	minor_secondary_kingdom_of_beasts_serpent_coast	arkhan_minor_walls
1142561341	minor_secondary_land_of_assassins_sorcerers_islands	arkhan_minor_walls
1142561342	minor_secondary_land_of_the_dervishes_plain_of_tuskers	arkhan_minor_walls
1142561343	minor_secondary_middenland_middenstag	arkhan_minor_walls
1142561344	minor_secondary_misty_hills_wreckers_point	arkhan_minor_walls
1142561345	minor_secondary_nagarythe_tor_dranil	arkhan_minor_walls
1142561346	minor_secondary_northern_great_jungle_temple_of_tlencan	arkhan_minor_walls
1142561347	minor_secondary_northern_jungle_of_pahualaxa_port_reaver	arkhan_minor_walls
1142561348	minor_secondary_northern_oblast_fort_straghov	arkhan_minor_walls
1142561349	minor_secondary_northern_worlds_edge_mountains_khazid_irkulaz	arkhan_minor_walls
1142561350	minor_secondary_obsidian_peaks_circle_of_destruction	arkhan_minor_walls
1142561351	minor_secondary_obsidian_peaks_storag_kor	arkhan_minor_walls
1142561352	minor_secondary_ostermark_nagenhof	arkhan_minor_walls
1142561353	minor_secondary_ostland_castle_von_rauken	arkhan_minor_walls
1142561354	minor_secondary_ostland_norden	arkhan_minor_walls
1142561355	minor_secondary_reikland_eilhart	arkhan_minor_walls
1142561356	minor_secondary_rib_peaks_grom_peak	arkhan_minor_walls
1142561357	minor_secondary_saphery_port_elistor	arkhan_minor_walls
1142561358	minor_secondary_shifting_sands_antoch	arkhan_minor_walls
1142561359	minor_secondary_solland_steingart	arkhan_minor_walls
1142561360	minor_secondary_southern_grey_mountains_grimhold	arkhan_minor_walls
1142561361	minor_secondary_southern_grey_mountains_karak_azgaraz	arkhan_minor_walls
1142561362	minor_secondary_southern_jungle_of_pahualaxa_monument_of_the_moon	arkhan_minor_walls
1142561363	minor_secondary_southern_oblast_zavastra	arkhan_minor_walls
1142561364	minor_secondary_southlands_worlds_edge_mountains_lost_plateau	arkhan_minor_walls
1142561365	minor_secondary_spine_of_sotek_monument_of_izzatal	arkhan_minor_walls
1142561366	minor_secondary_stirland_flensburg	arkhan_minor_walls
1142561367	minor_secondary_stirland_niedling	arkhan_minor_walls
1142561368	minor_secondary_talabecland_kemperbad	arkhan_minor_walls
1142561369	minor_secondary_talabecland_krugenheim	arkhan_minor_walls
1142561370	minor_secondary_the_black_coast_bleak_hold_fortress	arkhan_minor_walls
1142561371	minor_secondary_the_black_flood_shroktak_mount	arkhan_minor_walls
1142561372	minor_secondary_the_black_flood_temple_of_khaine	arkhan_minor_walls
1142561373	minor_secondary_the_broken_land_blacklight_tower	arkhan_minor_walls
1142561374	minor_secondary_the_broken_land_slavers_point	arkhan_minor_walls
1142561375	minor_secondary_the_broken_teeth_desolation_of_nagash	arkhan_minor_walls
1142561376	minor_secondary_the_chill_road_the_great_arena	arkhan_minor_walls
1142561377	minor_secondary_the_clawed_coast_the_twisted_glade	arkhan_minor_walls
1142561378	minor_secondary_the_creeping_jungle_temple_of_kara	arkhan_minor_walls
1142561379	minor_secondary_the_plain_of_bones_ash_ridge_mountains	arkhan_minor_walls
1142561380	minor_secondary_the_road_of_skulls_kauark	arkhan_minor_walls
1142561381	minor_secondary_the_road_of_skulls_the_black_pillar	arkhan_minor_walls
1142561382	minor_secondary_the_silver_road_mount_squighorn	arkhan_minor_walls
1142561383	minor_secondary_the_silver_road_the_pillars_of_grungni	arkhan_minor_walls
1142561384	minor_secondary_the_vaults_zarakzil	arkhan_minor_walls
1142561385	minor_secondary_the_wasteland_aarnau	arkhan_minor_walls
1142561386	minor_secondary_the_wolf_lands_mount_greyhag	arkhan_minor_walls
1142561387	minor_secondary_western_badlands_bitterstone_mine	arkhan_minor_walls
1142561388	minor_secondary_western_badlands_dragonhorn_mines	arkhan_minor_walls
1142561389	minor_secondary_western_badlands_stonemine_tower	arkhan_minor_walls
1142561390	minor_secondary_western_jungles_cuexotl	arkhan_minor_walls
1142561391	minor_secondary_western_sylvania_fort_oberstyre	arkhan_minor_walls
1142561392	minor_secondary_zhufbar_oakenhammer	arkhan_minor_walls
1142561393	minor_secondary_animals_caledor_tor_sethai	arkhan_minor_walls
1142561394	minor_secondary_animals_southlands_worlds_edge_mountains_mount_arachnos	arkhan_minor_walls
1142561395	minor_secondary_animals_the_black_flood_cragroth_deep	arkhan_minor_walls
1142561396	minor_secondary_animals_volcanic_islands_fuming_serpent	arkhan_minor_walls
1142561397	major_secondary_dyes_blood_river_valley_barak_varr	arkhan_minor_walls
1142561398	minor_secondary_dyes_great_desert_of_araby_el-kalabad	arkhan_minor_walls
1142561399	minor_secondary_dyes_northern_grey_mountains_karak_ziflin	arkhan_minor_walls
1142561400	minor_secondary_dyes_peak_pass_gnashraks_lair	arkhan_minor_walls
1142561401	minor_secondary_dyes_vampire_coast_the_blood_swamps	arkhan_minor_walls
1142561402	minor_secondary_dyes_yvresse_elessaeli	arkhan_minor_walls
1142561403	major_secondary_gems_jungles_of_green_mists_spektazuma	arkhan_minor_walls
1142561404	minor_secondary_gems_atalan_mountains_eye_of_the_panther	arkhan_minor_walls
1142561405	minor_secondary_gems_ellyrion_whitefire_tor	arkhan_minor_walls
1142561406	major_secondary_gold_ostland_wolfenburg	arkhan_minor_walls
1142561407	minor_secondary_gold_great_desert_of_araby_bel_aliad	arkhan_minor_walls
1142561408	minor_secondary_gold_headhunters_jungle_chupayotl	arkhan_minor_walls
1142561409	major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	arkhan_minor_walls
1142561410	minor_secondary_medicine_headhunters_jungle_mangrove_coast	arkhan_minor_walls
1142561411	minor_secondary_medicine_kingdom_of_beasts_the_cursed_jungle	arkhan_minor_walls
1142561412	minor_secondary_medicine_northern_great_jungle_xahutec	arkhan_minor_walls
1142561413	major_secondary_obsidian_volcanic_islands_the_star_tower	arkhan_minor_walls
1142561414	minor_norsca_obsidian_mountains_of_hel_altar_of_spawns	arkhan_minor_walls
1142561415	minor_secondary_obsidian_blackspine_mountains_plain_of_spiders	arkhan_minor_walls
1142561416	minor_secondary_furs_blood_river_valley_varenka_hills	arkhan_minor_walls
1142561417	minor_secondary_furs_dragon_isles_shattered_stone_isle	arkhan_minor_walls
1142561418	minor_secondary_furs_forest_of_arden_gisoreux	arkhan_minor_walls
1142561419	minor_secondary_furs_nordland_dietershafen	arkhan_minor_walls
1142561420	minor_secondary_furs_obsidian_peaks_venom_glade	arkhan_minor_walls
1142561421	major_norsca_iron_goromandy_mountains_baersonlings_camp	arkhan_minor_walls
1142561422	major_secondary_iron_the_clawed_coast_hoteks_column	arkhan_minor_walls
1142561423	minor_norsca_iron_vanaheim_mountains_pack_ice_bay	arkhan_minor_walls
1142561424	minor_secondary_iron_atalan_mountains_martek	arkhan_minor_walls
1142561425	minor_secondary_iron_bastonne_et_montfort_montfort	arkhan_minor_walls
1142561426	minor_secondary_iron_desolation_of_nagash_black_iron_mine	arkhan_minor_walls
1142561427	minor_secondary_iron_devils_backbone_mahrak	arkhan_minor_walls
1142561428	minor_secondary_iron_saphery_tor_finu	arkhan_minor_walls
1142561429	minor_secondary_iron_southern_jungle_of_pahualaxa_the_high_sentinel	arkhan_minor_walls
1142561430	minor_secondary_iron_southern_oblast_fort_jakova	arkhan_minor_walls
1142561431	minor_secondary_iron_spine_of_sotek_mine_of_the_bearded_skulls	arkhan_minor_walls
1142561432	minor_secondary_iron_the_plain_of_bones_darkhold	arkhan_minor_walls
1142561433	minor_secondary_iron_titan_peaks_ironspike	arkhan_minor_walls
1142561434	minor_secondary_iron_wissenland_pfeildorf	arkhan_minor_walls
1142561435	major_secondary_salt_blackspine_mountains_red_desert	arkhan_minor_walls
1142561436	major_secondary_salt_coast_of_araby_al_haikk	arkhan_minor_walls
1142561437	minor_secondary_salt_blood_river_valley_dok_karaz	arkhan_minor_walls
1142561438	minor_secondary_salt_carcassone_et_brionne_brionne	arkhan_minor_walls
1142561439	minor_secondary_salt_eastern_border_princes_matorca	arkhan_minor_walls
1142561440	minor_secondary_salt_southern_badlands_gronti_mingol	arkhan_minor_walls
1142561441	minor_secondary_salt_the_wasteland_gorssel	arkhan_minor_walls
1142561442	major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	arkhan_minor_walls
1142561443	minor_norsca_marble_mountains_of_naglfari_naglfari_plain	arkhan_minor_walls
1142561444	minor_secondary_marble_ash_river_springs_of_eternal_life	arkhan_minor_walls
1142561445	minor_secondary_marble_blightwater_misty_mountain	arkhan_minor_walls
1142561446	minor_secondary_marble_northern_grey_mountains_grung_zint	arkhan_minor_walls
1142561447	minor_secondary_marble_the_clawed_coast_the_monoliths	arkhan_minor_walls
1142561448	minor_secondary_marble_the_wolf_lands_mount_silverspear	arkhan_minor_walls
1142561449	minor_secondary_marble_tiranoc_whitepeak	arkhan_minor_walls
1142561450	minor_secondary_marble_western_border_princes_zvorak	arkhan_minor_walls
1142561451	minor_secondary_marble_wissenland_wissenburg	arkhan_minor_walls
1142561452	major_secondary_pastures_doom_glades_hag_hall	arkhan_minor_walls
1142561453	major_secondary_pastures_eastern_border_princes_akendorf	arkhan_minor_walls
1142561454	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	arkhan_minor_walls
1142561455	major_secondary_pastures_lyonesse_lyonesse	arkhan_minor_walls
1142561456	major_secondary_pastures_western_jungles_tlaqua	arkhan_minor_walls
1142561457	minor_secondary_pastures_black_mountains_karak_angazhar	arkhan_minor_walls
1142561458	minor_secondary_pastures_jungles_of_green_mists_wellsprings_of_eternity	arkhan_minor_walls
1142561459	minor_secondary_pastures_ostermark_essen	arkhan_minor_walls
1142561460	minor_secondary_pastures_parravon_et_quenelles_quenelles	arkhan_minor_walls
1142561461	minor_secondary_pastures_reikland_grunburg	arkhan_minor_walls
1142561462	minor_secondary_pastures_southern_great_jungle_subatuun	arkhan_minor_walls
1142561463	minor_secondary_pastures_western_sylvania_schwartzhafen	arkhan_minor_walls
1142561464	major_secondary_pottery_ostermark_bechafen	arkhan_minor_walls
1142561465	major_secondary_pottery_western_border_princes_myrmidens	arkhan_minor_walls
1142561466	minor_secondary_pottery_averland_grenzstadt	arkhan_minor_walls
1142561467	minor_secondary_pottery_land_of_assassins_lashiek	arkhan_minor_walls
1142561468	minor_secondary_pottery_northern_jungle_of_pahualaxa_swamp_town	arkhan_minor_walls
1142561469	minor_secondary_pottery_vampire_coast_pox_marsh	arkhan_minor_walls
1142561470	major_secondary_timber_forest_of_arden_castle_artois	arkhan_minor_walls
1142561471	major_secondary_timber_hochland_hergig	arkhan_minor_walls
1142561472	minor_secondary_timber_avelorn_tor_saroir	arkhan_minor_walls
1142561473	minor_secondary_timber_chrace_elisia	arkhan_minor_walls
1142561474	minor_secondary_timber_crater_of_the_walking_dead_doom_glade	arkhan_minor_walls
1142561475	minor_secondary_timber_deadwood_nagrar	arkhan_minor_walls
1142561476	minor_secondary_timber_death_pass_karag_dron	arkhan_minor_walls
1142561477	minor_secondary_timber_eastern_badlands_dringorackaz	arkhan_minor_walls
1142561478	minor_secondary_timber_eastern_oblast_volksgrad	arkhan_minor_walls
1142561479	minor_secondary_timber_gnoblar_country_haunted_forest	arkhan_minor_walls
1142561480	minor_secondary_timber_middenland_weismund	arkhan_minor_walls
1142561481	minor_secondary_timber_northern_great_jungle_chaqua	arkhan_minor_walls
1142561482	minor_secondary_timber_talabecland_kappelburg	arkhan_minor_walls
1142561483	minor_secondary_timber_the_creeping_jungle_tlanxla	arkhan_minor_walls
1142561484	minor_secondary_timber_the_vaults_karak_bhufdar	arkhan_minor_walls
1142561485	minor_secondary_timber_titan_peaks_the_moon_shard	arkhan_minor_walls
1142561486	major_secondary_wine_stirland_wurtbad	arkhan_minor_walls
1142561487	major_secondary_wine_western_sylvania_castle_templehof	arkhan_minor_walls
1142561488	minor_secondary_wine_eastern_sylvania_eschen	arkhan_minor_walls
1142561489	minor_secondary_wine_eataine_angerrial	arkhan_minor_walls
1142561490	minor_secondary_wine_estalia_bilbali	arkhan_minor_walls
1142561491	minor_secondary_wine_the_road_of_skulls_spite_reach	arkhan_minor_walls
1142561492	minor_secondary_wine_titan_peaks_ssildra_tor	arkhan_minor_walls
1142561493	major_secondary_savages_western_badlands_ekrund	arkhan_minor_walls
1142561494	minor_secondary_savages_southern_badlands_agrul_migdhal	arkhan_minor_walls
1142561495	minor_secondary_savages_southern_badlands_gor_gazan	arkhan_minor_walls
1142561496	minor_secondary_savages_southern_jungle_of_pahualaxa_floating_pyramid	arkhan_minor_walls
1142561497	minor_secondary_spices_devils_backbone_lybaras	arkhan_minor_walls
1142561498	minor_secondary_northern_worlds_edge_mountains_karak_raziak	arkhan_minor_walls
1142561499	minor_secondary_marshes_of_madness_floating_village	arkhan_minor_walls
1142561500	minor_secondary_yvresse_shrine_of_loec	arkhan_minor_walls
1142561501	minor_secondary_gnoblar_country_shattered_cove	arkhan_minor_walls
1142561502	minor_secondary_yvresse_tralinia	arkhan_minor_walls
1142561503	minor_secondary_southern_dark_lands_deadrock_gap	arkhan_minor_walls
1142561743	major_secondary_atalan_mountains_vulture_mountain	arkhan_vmp_halls_dead
1142561744	major_secondary_averland_averheim	arkhan_vmp_halls_dead
1142561745	major_secondary_bastonne_et_montfort_castle_bastonne	arkhan_vmp_halls_dead
1142561746	major_secondary_crater_of_the_walking_dead_rasetra	arkhan_vmp_halls_dead
1142561747	major_secondary_deadwood_the_frozen_city	arkhan_vmp_halls_dead
1142561748	major_secondary_dragon_isles_dread_rock	arkhan_vmp_halls_dead
1142561749	major_secondary_dyes_blood_river_valley_barak_varr	arkhan_vmp_halls_dead
1142561750	major_secondary_fort_bergbres	arkhan_vmp_halls_dead
1142561751	major_secondary_fort_helmgart	arkhan_vmp_halls_dead
1142561752	major_secondary_fort_soll	arkhan_vmp_halls_dead
1142561753	major_secondary_gems_jungles_of_green_mists_spektazuma	arkhan_vmp_halls_dead
1142561754	major_secondary_gold_ostland_wolfenburg	arkhan_vmp_halls_dead
1142561755	major_secondary_huahuan_desert_sentinels_of_xeti	arkhan_vmp_halls_dead
1142561756	major_secondary_iron_the_clawed_coast_hoteks_column	arkhan_vmp_halls_dead
1142561757	major_secondary_land_of_assassins_palace_of_the_wizard_caliph	arkhan_vmp_halls_dead
1142561758	major_secondary_land_of_the_dervishes_sudenburg	arkhan_vmp_halls_dead
1142561759	major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	arkhan_vmp_halls_dead
1142561760	major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	arkhan_vmp_halls_dead
1142561761	major_secondary_misty_hills_the_black_pit	arkhan_vmp_halls_dead
1142561762	major_secondary_northern_oblast_fort_ostrosk	arkhan_vmp_halls_dead
1142561763	major_secondary_obsidian_volcanic_islands_the_star_tower	arkhan_vmp_halls_dead
1142561764	major_secondary_pastures_doom_glades_hag_hall	arkhan_vmp_halls_dead
1142561765	major_secondary_pastures_eastern_border_princes_akendorf	arkhan_vmp_halls_dead
1142561766	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	arkhan_vmp_halls_dead
1142561767	major_secondary_pastures_lyonesse_lyonesse	arkhan_vmp_halls_dead
1142561768	major_secondary_pastures_western_jungles_tlaqua	arkhan_vmp_halls_dead
1142561769	major_secondary_pottery_ostermark_bechafen	arkhan_vmp_halls_dead
1142561770	major_secondary_pottery_western_border_princes_myrmidens	arkhan_vmp_halls_dead
1142561771	major_secondary_salt_blackspine_mountains_red_desert	arkhan_vmp_halls_dead
1142561772	major_secondary_salt_coast_of_araby_al_haikk	arkhan_vmp_halls_dead
1142561773	major_secondary_savages_western_badlands_ekrund	arkhan_vmp_halls_dead
1142561774	major_secondary_southlands_jungle_teotiqua	arkhan_vmp_halls_dead
1142561775	major_secondary_spine_of_sotek_hualotal	arkhan_vmp_halls_dead
1142561776	major_secondary_the_black_coast_arnheim	arkhan_vmp_halls_dead
1142561777	major_secondary_the_plain_of_bones_the_fortress_of_vorag	arkhan_vmp_halls_dead
1142561778	major_secondary_timber_forest_of_arden_castle_artois	arkhan_vmp_halls_dead
1142561779	major_secondary_timber_hochland_hergig	arkhan_vmp_halls_dead
1142561780	major_secondary_wine_stirland_wurtbad	arkhan_vmp_halls_dead
1142561781	major_secondary_wine_western_sylvania_castle_templehof	arkhan_vmp_halls_dead
1142561782	major_secondary_northern_dark_lands_silver_pinnacle	arkhan_vmp_halls_dead
1142561783	major_secondary_atalan_mountains_vulture_mountain	arkhan_vmp_great_necropolis
1142561784	major_secondary_averland_averheim	arkhan_vmp_great_necropolis
1142561785	major_secondary_bastonne_et_montfort_castle_bastonne	arkhan_vmp_great_necropolis
1142561786	major_secondary_crater_of_the_walking_dead_rasetra	arkhan_vmp_great_necropolis
1142561787	major_secondary_deadwood_the_frozen_city	arkhan_vmp_great_necropolis
1142561788	major_secondary_dragon_isles_dread_rock	arkhan_vmp_great_necropolis
1142561789	major_secondary_dyes_blood_river_valley_barak_varr	arkhan_vmp_great_necropolis
1142561790	major_secondary_fort_bergbres	arkhan_vmp_great_necropolis
1142561791	major_secondary_fort_helmgart	arkhan_vmp_great_necropolis
1142561792	major_secondary_fort_soll	arkhan_vmp_great_necropolis
1142561793	major_secondary_gems_jungles_of_green_mists_spektazuma	arkhan_vmp_great_necropolis
1142561794	major_secondary_gold_ostland_wolfenburg	arkhan_vmp_great_necropolis
1142561795	major_secondary_huahuan_desert_sentinels_of_xeti	arkhan_vmp_great_necropolis
1142561796	major_secondary_iron_the_clawed_coast_hoteks_column	arkhan_vmp_great_necropolis
1142561797	major_secondary_land_of_assassins_palace_of_the_wizard_caliph	arkhan_vmp_great_necropolis
1142561798	major_secondary_land_of_the_dervishes_sudenburg	arkhan_vmp_great_necropolis
1142561799	major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	arkhan_vmp_great_necropolis
1142561800	major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	arkhan_vmp_great_necropolis
1142561801	major_secondary_misty_hills_the_black_pit	arkhan_vmp_great_necropolis
1142561802	major_secondary_northern_oblast_fort_ostrosk	arkhan_vmp_great_necropolis
1142561803	major_secondary_obsidian_volcanic_islands_the_star_tower	arkhan_vmp_great_necropolis
1142561804	major_secondary_pastures_doom_glades_hag_hall	arkhan_vmp_great_necropolis
1142561805	major_secondary_pastures_eastern_border_princes_akendorf	arkhan_vmp_great_necropolis
1142561806	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	arkhan_vmp_great_necropolis
1142561807	major_secondary_pastures_lyonesse_lyonesse	arkhan_vmp_great_necropolis
1142561808	major_secondary_pastures_western_jungles_tlaqua	arkhan_vmp_great_necropolis
1142561809	major_secondary_pottery_ostermark_bechafen	arkhan_vmp_great_necropolis
1142561810	major_secondary_pottery_western_border_princes_myrmidens	arkhan_vmp_great_necropolis
1142561811	major_secondary_salt_blackspine_mountains_red_desert	arkhan_vmp_great_necropolis
1142561812	major_secondary_salt_coast_of_araby_al_haikk	arkhan_vmp_great_necropolis
1142561813	major_secondary_savages_western_badlands_ekrund	arkhan_vmp_great_necropolis
1142561814	major_secondary_southlands_jungle_teotiqua	arkhan_vmp_great_necropolis
1142561815	major_secondary_spine_of_sotek_hualotal	arkhan_vmp_great_necropolis
1142561816	major_secondary_the_black_coast_arnheim	arkhan_vmp_great_necropolis
1142561817	major_secondary_the_plain_of_bones_the_fortress_of_vorag	arkhan_vmp_great_necropolis
1142561818	major_secondary_timber_forest_of_arden_castle_artois	arkhan_vmp_great_necropolis
1142561819	major_secondary_timber_hochland_hergig	arkhan_vmp_great_necropolis
1142561820	major_secondary_wine_stirland_wurtbad	arkhan_vmp_great_necropolis
1142561821	major_secondary_wine_western_sylvania_castle_templehof	arkhan_vmp_great_necropolis
1142561822	major_secondary_northern_dark_lands_silver_pinnacle	arkhan_vmp_great_necropolis
1142561823	major_secondary_atalan_mountains_vulture_mountain	arkhan_vmp_fell_tree
1142561824	major_secondary_averland_averheim	arkhan_vmp_fell_tree
1142561825	major_secondary_bastonne_et_montfort_castle_bastonne	arkhan_vmp_fell_tree
1142561826	major_secondary_crater_of_the_walking_dead_rasetra	arkhan_vmp_fell_tree
1142561827	major_secondary_deadwood_the_frozen_city	arkhan_vmp_fell_tree
1142561828	major_secondary_dragon_isles_dread_rock	arkhan_vmp_fell_tree
1142561829	major_secondary_dyes_blood_river_valley_barak_varr	arkhan_vmp_fell_tree
1142561830	major_secondary_fort_bergbres	arkhan_vmp_fell_tree
1142561831	major_secondary_fort_helmgart	arkhan_vmp_fell_tree
1142561832	major_secondary_fort_soll	arkhan_vmp_fell_tree
1142561833	major_secondary_gems_jungles_of_green_mists_spektazuma	arkhan_vmp_fell_tree
1142561834	major_secondary_gold_ostland_wolfenburg	arkhan_vmp_fell_tree
1142561835	major_secondary_huahuan_desert_sentinels_of_xeti	arkhan_vmp_fell_tree
1142561836	major_secondary_iron_the_clawed_coast_hoteks_column	arkhan_vmp_fell_tree
1142561837	major_secondary_land_of_assassins_palace_of_the_wizard_caliph	arkhan_vmp_fell_tree
1142561838	major_secondary_land_of_the_dervishes_sudenburg	arkhan_vmp_fell_tree
1142561839	major_secondary_marble_northern_jungle_of_pahualaxa_macu_peaks	arkhan_vmp_fell_tree
1142561840	major_secondary_medicine_southern_jungle_of_pahualaxa_pahuax	arkhan_vmp_fell_tree
1142561841	major_secondary_misty_hills_the_black_pit	arkhan_vmp_fell_tree
1142561842	major_secondary_northern_oblast_fort_ostrosk	arkhan_vmp_fell_tree
1142561843	major_secondary_obsidian_volcanic_islands_the_star_tower	arkhan_vmp_fell_tree
1142561844	major_secondary_pastures_doom_glades_hag_hall	arkhan_vmp_fell_tree
1142561845	major_secondary_pastures_eastern_border_princes_akendorf	arkhan_vmp_fell_tree
1142561846	major_secondary_pastures_kingdom_of_beasts_temple_of_skulls	arkhan_vmp_fell_tree
1142561847	major_secondary_pastures_lyonesse_lyonesse	arkhan_vmp_fell_tree
1142561848	major_secondary_pastures_western_jungles_tlaqua	arkhan_vmp_fell_tree
